Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Renda
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,21071.4
2015,2,Eixample,10,Sant Antoni,20015.8
2015,3,Sants-Montjuïc,11,el Poble Sec,15082.9
2015,3,Sants-Montjuïc,13,la Marina de Port,14291.2
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,16889.600000000002
2015,3,Sants-Montjuïc,15,Hostafrancs,16686.600000000002
2015,3,Sants-Montjuïc,16,la Bordeta,15082.9
2015,3,Sants-Montjuïc,17,Sants - Badal,15631.0
2015,4,Les Corts,19,les Corts,25273.500000000004
2015,7,Horta-Guinardó,38,la Teixonera,15123.5
2015,8,Nou Barris,55,Ciutat Meridiana,7003.499999999999
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,18980.5
2015,9,Sant Andreu,59,el Bon Pastor,11774.0
2015,9,Sant Andreu,60,Sant Andreu,15346.799999999997
2015,9,Sant Andreu,61,la Sagrera,15590.4
2015,9,Sant Andreu,62,el Congrés i els Indians,14230.3
2015,9,Sant Andreu,63,Navas,17417.4
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,15976.1
2015,10,Sant Martí,65,el Clot,17194.1
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,19650.399999999998
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,30490.599999999995
2015,10,Sant Martí,68,el Poblenou,19406.8
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,32987.5
2015,10,Sant Martí,70,el Besòs i el Maresme,11043.2
2015,10,Sant Martí,71,Provençals del Poblenou,20868.4
2015,10,Sant Martí,72,Sant Martí de Provençals,13864.9
2015,10,Sant Martí,73,la Verneda i la Pau,11672.5
2015,9,Sant Andreu,58,Baró de Viver,12220.6
2015,9,Sant Andreu,57,la Trinitat Vella,8749.3
2015,1,Ciutat Vella,2,el Barri Gòtic,22025.5
2015,7,Horta-Guinardó,40,Montbau,14676.9
2015,7,Horta-Guinardó,41,la Vall d'Hebron,18797.8
2015,7,Horta-Guinardó,42,la Clota,18127.9
2015,7,Horta-Guinardó,43,Horta,16422.7
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,13195.0
2015,8,Nou Barris,45,Porta,12464.199999999999
2015,8,Nou Barris,46,el Turó de la Peira,9906.4
2015,8,Nou Barris,47,Can Peguera,10373.300000000001
2015,8,Nou Barris,48,la Guineueta,11347.699999999999
2015,8,Nou Barris,49,Canyelles,11286.800000000001
2015,8,Nou Barris,50,les Roquetes,9703.4
2015,8,Nou Barris,51,Verdun,11246.199999999999
2015,8,Nou Barris,52,la Prosperitat,10962.0
2015,8,Nou Barris,53,la Trinitat Nova,7226.800000000001
2015,8,Nou Barris,54,Torre Baró,9561.300000000001
2015,8,Nou Barris,56,Vallbona,7673.399999999999
2015,1,Ciutat Vella,1,el Raval,15387.4
